symbol,realizedPL,netPL,txnFee,nTrades,nTxns,winrate,avgGain,avgLoss,plRatio
ME501,1121650,1114900,6750,4,43,0.5,584760,-27310,21.4119370194068
TA505,342780,340060,2720,1,10,1,340060,NaN,NaN
OI501,306380,304400,1980,4,22,0.75,119500,-54100.0000000001,2.20887245841035
pp1501,309415.000000001,303915.77,5499.23,3,39,0.666666666666667,187521.33,-71126.89,2.63643370320283
ME401,301200,300840,360,1,5,1,300840,NaN,NaN
ME405,278500,276700,1800,6,16,0.666666666666667,88810,-39270,2.26152279093456
l1409,196650.000000001,192030.000000001,4620,7,21,0.428571428571429,115660,-38737.4999999999,2.98573733462408
RM411,184030,183526,504,1,9,1,183526,NaN,NaN
jm1405,177600,176977.61,622.39,1,5,1,176977.61,NaN,NaN
i1405,157500,156400.67,1099.33,4,8,0.75,55191.5233333333,-9173.9,6.01614616829629
SR405,118700,117740,960,2,5,0.5,119640,-1900,62.9684210526316
pp1409,95935.0000000004,90051.6600000004,5883.34,5,49,0.6,73870.1666666668,-65779.42,1.12299814541793
ru1405,87200,87071.54,128.46,1,3,1,87071.54,NaN,NaN
m1409,88000,86000,2000,2,4,0.5,107000,-21000,5.09523809523809
bb1405,72125.0000000004,68997.6800000004,3127.32,3,10,1,22999.2266666668,NaN,NaN
fb1409,61424.9999999998,59967.3599999998,1457.64,1,6,1,59967.3599999998,NaN,NaN
rb1501,54500,54339.11,160.89,1,2,1,54339.11,NaN,NaN
m1505,50079.9999999999,49679.9999999999,400,1,3,1,49679.9999999999,NaN,NaN
RM409,45200,44786,414,2,6,0.5,45876,-1090,42.0880733944954
jm1409,39600,39361.97,238.03,1,2,1,39361.97,NaN,NaN
TA501,37300,35140,2160,3,7,0.333333333333333,62020,-13440,4.61458333333333
i1505,35000,34180.5,819.5,1,3,1,34180.5,NaN,NaN
fb1405,33350.0000000003,30213.9900000003,3136.01,3,11,0.666666666666667,34118.9500000001,-38023.91,0.897302513076644
CF501,22875,22695,180,1,2,1,22695,NaN,NaN
ru1401,21500,21276.53,223.47,1,2,1,21276.53,NaN,NaN
FG401,18000,17280,720,1,2,1,17280,NaN,NaN
TA409,23120.0000000002,17200.0000000002,5920,9,22,0.555555555555556,26508,-28835,0.919299462458819
OI409,14480.0000000003,13520.0000000003,960,1,6,1,13520.0000000003,NaN,NaN
TA405,13870.0000000001,10430.0000000001,3440,4,15,0.5,28030,-22814.9999999999,1.22857769011616
jd1501,14729.9999999997,10422.4499999997,4307.55,2,8,0.5,22539.2999999999,-12116.8500000002,1.86016167568299
i1409,10500,10279.05,220.95,1,3,1,10279.05,NaN,NaN
jm1501,7200,6858.75,341.25,1,2,1,6858.75,NaN,NaN
bb1409,5649.99999999998,4844.82999999998,805.17,1,3,1,4844.82999999998,NaN,NaN
y1501,1600,1360,240,1,2,1,1360,NaN,NaN
rb1410,400,-356.95,756.95,3,7,0.666666666666667,5169.15,-10695.25,0.483312685537972
jd1409,6210.00000000026,-942.709999999744,7152.71,3,10,0.666666666666667,39332.4650000001,-79607.64,0.494079023068642
ru1409,-1000,-1239.94,239.94,1,2,0,NaN,-1239.94,NaN
j1409,-2000,-2413.8,413.8,1,2,0,NaN,-2413.8,NaN
j1501,-10000,-10451.4,451.4,1,2,0,NaN,-10451.4,NaN
RM501,-12900,-13314,414,3,7,0,NaN,-4438,NaN
a1501,-15880.0000000005,-16580.0000000005,700,2,9,0.5,23189.9999999998,-39770.0000000003,0.583102841337682
a1409,-17720,-18520,800,3,11,0.333333333333333,540,-9529.99999999998,0.056663168940189
m1501,-19459.9999999999,-20459.9999999999,1000,3,7,0.333333333333333,3850,-12154.9999999999,0.316742081447966
l1501,-21199.9999999998,-26899.9999999998,5700,7,24,0.428571428571429,53200.0000000001,-46625,1.14101876675603
p1505,-27440.0000000001,-28640.0000000001,1200,1,4,0,NaN,-28640.0000000001,NaN
SR409,-30000,-30400,400,1,2,0,NaN,-30400,NaN
TA401,-30189.9999999997,-31789.9999999997,1600,2,9,0,NaN,-15894.9999999998,NaN
j1405,-37500,-37987.65,487.65,1,2,0,NaN,-37987.65,NaN
a1505,-48250.0000000004,-48850.0000000004,600,1,7,0,NaN,-48850.0000000004,NaN
ME409,-61850.0000000001,-63470.0000000001,1620,3,14,0.333333333333333,21640,-42555.0000000001,0.508518387968511
m1405,-72000,-74000,2000,2,4,0,NaN,-37000,NaN
l1405,-71375,-74195,2820,6,14,0.5,32480,-57211.6666666667,0.567716374865266
FG405,-107200,-108280,1080,2,5,0.5,4439.99999999995,-112720,0.0393896380411635
TC501,-105800,-109320,3520,2,11,0,NaN,-54659.9999999998,NaN
rb1405,-149100,-149788.63,688.63,2,7,0,NaN,-74894.315,NaN
pp1406,-167490,-169127.74,1637.74,1,3,0,NaN,-169127.74,NaN
p1501,-203500.000000001,-205360.000000001,1860,3,10,0.333333333333333,5360,-105360,0.0508731966590734
ME505,-705000,-707610,2610,1,21,0,NaN,-707610,NaN
