symbol,realizedPL,netPL,txnFee,nTrades,nTxns,winrate,avgGain,avgLoss,plRatio
ME501,"1,121,650.00","1,114,900.00","6,750.00",4,43,0.5,"584,760.00","-27,310.00",-21.41
TA505,"342,780.00","340,060.00","2,720.00",1,10,1,"340,060.00",NaN,NaN
OI501,"306,380.00","304,400.00","1,980.00",4,22,0.75,"119,500.00","-54,100.00",-2.21
pp1501,"309,415.00","303,915.77","5,499.23",3,39,0.67,"187,521.33","-71,126.89",-2.64
ME401,"301,200.00","300,840.00",360,1,5,1,"300,840.00",NaN,NaN
ME405,"278,500.00","276,700.00","1,800.00",6,16,0.67,"88,810.00","-39,270.00",-2.26
l1409,"196,650.00","192,030.00","4,620.00",7,21,0.43,"115,660.00","-38,737.50",-2.99
RM411,"184,030.00","183,526.00",504,1,9,1,"183,526.00",NaN,NaN
jm1405,"177,600.00","176,977.61",622.39,1,5,1,"176,977.61",NaN,NaN
i1405,"157,500.00","156,400.67","1,099.33",4,8,0.75,"55,191.52","-9,173.90",-6.02
SR405,"118,700.00","117,740.00",960,2,5,0.5,"119,640.00","-1,900.00",-62.97
pp1409,"95,935.00","90,051.66","5,883.34",5,49,0.6,"73,870.17","-65,779.42",-1.12
ru1405,"87,200.00","87,071.54",128.46,1,3,1,"87,071.54",NaN,NaN
m1409,"88,000.00","86,000.00","2,000.00",2,4,0.5,"107,000.00","-21,000.00",-5.1
bb1405,"72,125.00","68,997.68","3,127.32",3,10,1,"22,999.23",NaN,NaN
fb1409,"61,425.00","59,967.36","1,457.64",1,6,1,"59,967.36",NaN,NaN
rb1501,"54,500.00","54,339.11",160.89,1,2,1,"54,339.11",NaN,NaN
m1505,"50,080.00","49,680.00",400,1,3,1,"49,680.00",NaN,NaN
RM409,"45,200.00","44,786.00",414,2,6,0.5,"45,876.00","-1,090.00",-42.09
jm1409,"39,600.00","39,361.97",238.03,1,2,1,"39,361.97",NaN,NaN
TA501,"37,300.00","35,140.00","2,160.00",3,7,0.33,"62,020.00","-13,440.00",-4.61
i1505,"35,000.00","34,180.50",819.5,1,3,1,"34,180.50",NaN,NaN
fb1405,"33,350.00","30,213.99","3,136.01",3,11,0.67,"34,118.95","-38,023.91",-0.9
CF501,"22,875.00","22,695.00",180,1,2,1,"22,695.00",NaN,NaN
ru1401,"21,500.00","21,276.53",223.47,1,2,1,"21,276.53",NaN,NaN
FG401,"18,000.00","17,280.00",720,1,2,1,"17,280.00",NaN,NaN
TA409,"23,120.00","17,200.00","5,920.00",9,22,0.56,"26,508.00","-28,835.00",-0.92
OI409,"14,480.00","13,520.00",960,1,6,1,"13,520.00",NaN,NaN
TA405,"13,870.00","10,430.00","3,440.00",4,15,0.5,"28,030.00","-22,815.00",-1.23
jd1501,"14,730.00","10,422.45","4,307.55",2,8,0.5,"22,539.30","-12,116.85",-1.86
i1409,"10,500.00","10,279.05",220.95,1,3,1,"10,279.05",NaN,NaN
jm1501,"7,200.00","6,858.75",341.25,1,2,1,"6,858.75",NaN,NaN
bb1409,"5,650.00","4,844.83",805.17,1,3,1,"4,844.83",NaN,NaN
y1501,"1,600.00","1,360.00",240,1,2,1,"1,360.00",NaN,NaN
rb1410,400,-356.95,756.95,3,7,0.67,"5,169.15","-10,695.25",-0.48
jd1409,"6,210.00",-942.71,"7,152.71",3,10,0.67,"39,332.47","-79,607.64",-0.49
ru1409,"-1,000.00","-1,239.94",239.94,1,2,0,NaN,"-1,239.94",NaN
j1409,"-2,000.00","-2,413.80",413.8,1,2,0,NaN,"-2,413.80",NaN
j1501,"-10,000.00","-10,451.40",451.4,1,2,0,NaN,"-10,451.40",NaN
RM501,"-12,900.00","-13,314.00",414,3,7,0,NaN,"-4,438.00",NaN
a1501,"-15,880.00","-16,580.00",700,2,9,0.5,"23,190.00","-39,770.00",-0.58
a1409,"-17,720.00","-18,520.00",800,3,11,0.33,540,"-9,530.00",-0.06
m1501,"-19,460.00","-20,460.00","1,000.00",3,7,0.33,"3,850.00","-12,155.00",-0.32
l1501,"-21,200.00","-26,900.00","5,700.00",7,24,0.43,"53,200.00","-46,625.00",-1.14
p1505,"-27,440.00","-28,640.00","1,200.00",1,4,0,NaN,"-28,640.00",NaN
SR409,"-30,000.00","-30,400.00",400,1,2,0,NaN,"-30,400.00",NaN
TA401,"-30,190.00","-31,790.00","1,600.00",2,9,0,NaN,"-15,895.00",NaN
j1405,"-37,500.00","-37,987.65",487.65,1,2,0,NaN,"-37,987.65",NaN
a1505,"-48,250.00","-48,850.00",600,1,7,0,NaN,"-48,850.00",NaN
ME409,"-61,850.00","-63,470.00","1,620.00",3,14,0.33,"21,640.00","-42,555.00",-0.51
m1405,"-72,000.00","-74,000.00","2,000.00",2,4,0,NaN,"-37,000.00",NaN
l1405,"-71,375.00","-74,195.00","2,820.00",6,14,0.5,"32,480.00","-57,211.67",-0.57
FG405,"-107,200.00","-108,280.00","1,080.00",2,5,0.5,"4,440.00","-112,720.00",-0.04
TC501,"-105,800.00","-109,320.00","3,520.00",2,11,0,NaN,"-54,660.00",NaN
rb1405,"-149,100.00","-149,788.63",688.63,2,7,0,NaN,"-74,894.32",NaN
pp1406,"-167,490.00","-169,127.74","1,637.74",1,3,0,NaN,"-169,127.74",NaN
p1501,"-203,500.00","-205,360.00","1,860.00",3,10,0.33,"5,360.00","-105,360.00",-0.05
ME505,"-705,000.00","-707,610.00","2,610.00",1,21,0,NaN,"-707,610.00",NaN
