symbol,startdate,enddate,initPos,maxPos,netPL,realizedPL,txnFee,nTxns
CF501,2014/9/18,2014/9/23,-15,-15,22695,22875,180,2
FG401,2013/11/25,2013/12/9,100,100,17280,18000,720,2
FG405,2013/11/21,2013/12/12,-100,-100,-112720,-112000,720,2
FG405,2014/1/27,2014/1/29,-30,-50,4440,4800,360,3
ME401,2013/11/28,2013/12/11,10,20,300840,301200,360,5
ME405,2014/1/10,2014/1/17,-15,-15,13700,14150,450,5
ME405,2014/2/21,2014/2/26,-20,-20,257640,258000,360,2
ME405,2014/3/11,2014/3/12,-15,-15,-6270,-6000,270,2
ME405,2014/3/12,2014/3/17,-15,-15,76230,76500,270,2
ME405,2014/3/17,2014/3/31,-15,-15,-72270,-72000,270,2
ME405,2014/4/9,2014/4/11,-7,-10,7670,7850,180,3
ME409,2014/1/15,2014/1/17,10,10,-33680,-33500,180,2
ME409,2014/4/11,2014/4/18,-10,-20,21640,22000,360,3
ME409,2014/7/18,2014/8/13,-20,-50,-51430,-50350,1080,9
ME501,2014/8/4,2014/8/5,-20,-20,-31360,-31000,360,2
ME501,2014/8/27,2014/9/19,-20,-60,-23260,-22000,1260,9
ME501,2014/9/24,2014/11/11,-8,-145,1160970,1165200,4230,26
ME501,2014/10/14,2014/10/17,3,50,8550,9450,900,6
ME505,2014/9/3,2014/11/6,6,105,-707610,-705000,2610,21
OI409,2014/7/10,2014/7/14,-34,-160,13520,14480,960,6
OI501,2014/7/8,2014/7/10,-15,-50,43980,44280,300,4
OI501,2014/7/14,2014/7/24,-70,-160,82100,83060,960,9
OI501,2014/8/8,2014/8/27,-50,-70,232420,232840,420,5
OI501,2014/9/10,2014/9/12,-20,-50,-54100,-53800,300,4
RM409,2014/5/6,2014/6/10,60,60,45876,46200,324,4
RM409,2014/7/11,2014/7/11,50,50,-1090,-1000,90,2
RM411,2014/8/12,2014/9/5,-33,-110,183526,184030,504,9
RM501,2014/7/11,2014/7/11,-50,-70,-5026,-4900,126,3
RM501,2014/9/12,2014/9/12,-80,-80,-1744,-1600,144,2
RM501,2014/9/26,2014/9/26,80,80,-6544,-6400,144,2
SR405,2014/1/6,2014/1/22,-70,-70,119640,120200,560,3
SR405,2014/2/28,2014/2/28,-50,-50,-1900,-1500,400,2
SR409,2014/2/28,2014/3/6,-50,-50,-30400,-30000,400,2
TA401,2013/11/19,2013/11/22,-1,-100,-3790,-2990,800,3
TA401,2013/11/25,2013/12/3,-12,-100,-28000,-27200,800,6
TA405,2013/11/26,2013/12/6,-100,-100,-24740,-23940,800,4
TA405,2014/1/10,2014/1/27,-100,-100,39900,41100,1200,5
TA405,2014/2/11,2014/2/13,-80,-80,16160,16800,640,2
TA405,2014/2/26,2014/3/5,-11,-100,-20890,-20090,800,4
TA409,2014/1/21,2014/1/24,-50,-50,260,660,400,4
TA409,2014/5/7,2014/5/14,-100,-100,-77800,-77000,800,2
TA409,2014/5/26,2014/5/27,6,70,16300,16860,560,3
TA409,2014/6/3,2014/6/4,100,100,15200,16000,800,2
TA409,2014/6/9,2014/6/9,80,80,-6240,-5600,640,2
TA409,2014/6/9,2014/6/9,-80,-80,-640,0,640,2
TA409,2014/6/25,2014/6/27,80,80,91360,92000,640,2
TA409,2014/7/4,2014/7/8,70,70,-30660,-30100,560,2
TA409,2014/7/18,2014/7/22,80,110,9420,10300,880,3
TA501,2014/7/22,2014/7/23,110,110,62020,62900,880,3
TA501,2014/9/11,2014/9/12,-80,-80,-3840,-3200,640,2
TA501,2014/9/15,2014/9/17,-80,-80,-23040,-22400,640,2
TA505,2014/10/28,2014/11/5,-80,-250,340060,342780,2720,10
TC501,2014/7/16,2014/7/25,-20,-30,-58480,-57520,960,4
TC501,2014/11/5,2014/11/12,-9,-80,-50840,-48280,2560,7
a1409,2014/5/6,2014/5/13,-1,-60,-8090,-7790,300,3
a1409,2014/5/20,2014/5/30,-40,-60,-10970,-10670,300,4
a1409,2014/7/8,2014/7/9,-40,-40,540,740,200,4
a1501,2014/5/20,2014/5/30,18,60,23190,23490,300,4
a1501,2014/10/10,2014/10/14,-1,-80,-39770,-39370,400,5
a1505,2014/10/14,2014/11/3,-65,-120,-48850,-48250,600,7
bb1405,2014/1/22,2014/1/29,20,30,29353.97,30500,1146.03,3
bb1405,2014/4/9,2014/4/14,8,25,38056.87,39150,1093.13,4
bb1405,2014/4/14,2014/4/15,20,20,1586.84,2475,888.16,3
bb1409,2014/6/10,2014/6/13,-16,-30,4844.83,5650,805.17,3
fb1405,2014/1/8,2014/1/29,-50,-50,29999.6,31375,1375.4,5
fb1405,2014/2/25,2014/3/7,-40,-40,38238.3,39000,761.7,3
fb1405,2014/4/4,2014/4/9,-50,-50,-38023.91,-37025,998.91,3
fb1409,2014/4/9,2014/5/9,-37,-100,59967.36,61425,1457.64,6
i1405,2014/1/24,2014/1/27,10,10,-9173.9,-9000,173.9,2
i1405,2014/2/24,2014/2/24,-15,-15,1376.47,1500,123.53,2
i1405,2014/2/28,2014/3/4,-30,-30,38509.5,39000,490.5,2
i1405,2014/3/6,2014/3/12,-20,-20,125688.6,126000,311.4,2
i1409,2014/5/13,2014/5/16,-10,-15,10279.05,10500,220.95,3
i1505,2014/11/5,2014/11/7,-50,-80,34180.5,35000,819.5,3
j1405,2013/12/5,2013/12/11,15,15,-37987.65,-37500,487.65,2
j1409,2014/7/31,2014/8/4,-20,-20,-2413.8,-2000,413.8,2
j1501,2014/7/25,2014/7/28,-20,-20,-10451.4,-10000,451.4,2
jd1409,2014/6/24,2014/7/2,40,40,55977.9,57890,1912.1,3
jd1409,2014/7/22,2014/7/24,-32,-60,22687.03,25520,2832.97,3
jd1409,2014/7/25,2014/7/28,-50,-50,-79607.64,-77200,2407.64,4
jd1501,2014/7/10,2014/7/11,24,50,-12116.85,-9930,2186.85,5
jd1501,2014/7/18,2014/7/22,-16,-50,22539.3,24660,2120.7,3
jm1405,2013/12/4,2013/12/30,-30,-40,176977.61,177600,622.39,5
jm1409,2014/3/10,2014/3/11,-20,-20,39361.97,39600,238.03,2
jm1501,2014/7/22,2014/7/28,-30,-30,6858.75,7200,341.25,2
l1405,2013/12/25,2013/12/26,60,60,31140,31500,360,2
l1405,2014/1/17,2014/1/22,-100,-100,19400,20000,600,3
l1405,2014/1/24,2014/1/24,10,10,-560,-500,60,2
l1405,2014/2/21,2014/2/26,100,100,46900,47500,600,2
l1405,2014/2/26,2014/3/5,100,100,-48100,-47500,600,2
l1405,2014/3/28,2014/4/1,-100,-100,-122975,-122375,600,3
l1409,2014/4/1,2014/4/11,-100,-150,-30650,-29750,900,4
l1409,2014/4/30,2014/5/6,-80,-80,-62480,-62000,480,2
l1409,2014/5/12,2014/5/13,-80,-80,-12480,-12000,480,2
l1409,2014/5/13,2014/5/20,-80,-120,98180,98900,720,5
l1409,2014/5/26,2014/5/29,-70,-140,-49340,-48500,840,4
l1409,2014/6/4,2014/6/9,100,100,21900,22500,600,2
l1409,2014/6/9,2014/6/16,100,100,226900,227500,600,2
l1501,2014/5/29,2014/5/30,-140,-140,16660,17500,840,2
l1501,2014/6/16,2014/7/9,85,100,-17225,-16625,600,4
l1501,2014/9/15,2014/9/18,-70,-80,36840,37500,660,4
l1501,2014/9/23,2014/9/24,-12,-100,106100,106700,600,5
l1501,2014/10/27,2014/10/28,-100,-100,-74375,-73775,600,4
l1501,2014/10/30,2014/11/3,300,300,-61800,-60000,1800,3
l1501,2014/11/4,2014/11/5,100,100,-33100,-32500,600,2
m1405,2013/12/5,2013/12/23,200,200,-11000,-10000,1000,2
m1405,2013/12/31,2014/1/14,200,200,-63000,-62000,1000,2
m1409,2013/12/5,2013/12/23,-200,-200,-21000,-20000,1000,2
m1409,2013/12/31,2014/1/14,-200,-200,107000,108000,1000,2
m1501,2014/8/18,2014/8/28,50,50,-3750,-3500,250,2
m1501,2014/9/9,2014/9/17,-70,-70,3850,4200,350,2
m1501,2014/9/30,2014/10/8,-64,-80,-20560,-20160,400,3
m1505,2014/9/22,2014/9/26,-48,-80,49680,50080,400,3
p1501,2014/7/10,2014/7/14,50,70,-120820,-120400,420,5
p1501,2014/9/30,2014/10/8,40,40,5360,5600,240,2
p1501,2014/10/15,2014/10/17,165,200,-89900,-88700,1200,3
p1505,2014/10/15,2014/10/17,-83,-200,-28640,-27440,1200,4
pp1406,2014/3/28,2014/3/28,100,100,-169127.74,-167490,1637.74,3
pp1409,2014/3/28,2014/4/8,21,100,141921.09,143520,1598.91,14
pp1409,2014/4/25,2014/4/28,-50,-70,50300.81,51055,754.19,7
pp1409,2014/5/6,2014/5/7,-4,-50,-9518.01,-8975,543.01,9
pp1409,2014/5/22,2014/5/26,-6,-170,-122040.83,-120185,1855.83,15
pp1409,2014/6/10,2014/6/11,3,100,29388.6,30520,1131.4,4
pp1501,2014/6/3,2014/7/9,-8,-190,219272.96,221795,2522.04,19
pp1501,2014/10/27,2014/10/30,9,200,155769.7,157755,1985.3,13
pp1501,2014/11/3,2014/11/4,2,100,-71126.89,-70135,991.89,7
rb1405,2013/12/11,2013/12/30,60,60,-69264.06,-69000,264.06,2
rb1405,2014/3/18,2014/4/3,-80,-110,-80524.57,-80100,424.57,5
rb1410,2014/5/21,2014/5/23,-60,-80,-10695.25,-10400,295.25,3
rb1410,2014/5/30,2014/6/10,-80,-80,4504.5,4800,295.5,2
rb1410,2014/9/4,2014/9/9,-50,-50,5833.8,6000,166.2,2
rb1501,2014/9/19,2014/9/23,-50,-50,54339.11,54500,160.89,2
ru1401,2013/11/22,2013/11/25,-10,-10,21276.53,21500,223.47,2
ru1405,2014/2/13,2014/2/25,-5,-7,87071.54,87200,128.46,3
ru1409,2013/12/13,2013/12/13,10,10,-1239.94,-1000,239.94,2
y1501,2014/9/12,2014/9/12,-40,-40,1360,1600,240,2
